 ,baseline,height,x,y,sigma_x,sigma_y,fwhm_x,fwhm_y,fwhm,error_baseline,error_height,error_x,error_y,error_sigma_x,error_sigma_y,error_fwhm_x,error_fwhm_y,error_fwhm,slice
1360,310.334,61.849,1215.714,1298.685,0.654,1.299,1.540,3.059,2.300,2.290,16.512,0.173,0.321,0.198,0.335,0.466,0.788,0.458,7
1361,316.561,31.884,509.327,1384.894,0.695,1.061,1.636,2.499,2.068,2.899,22.880,0.466,0.707,0.565,0.731,1.331,1.722,1.088,7
1362,315.823,42.651,1352.894,1389.120,0.840,1.055,1.978,2.483,2.231,3.152,20.185,0.409,0.508,0.402,0.530,0.947,1.247,0.783,7
1363,309.706,43.921,1521.474,1426.694,0.825,1.127,1.943,2.655,2.299,3.205,20.675,0.371,0.514,0.431,0.540,1.016,1.272,0.814,7
1364,307.561,51.009,364.401,1474.529,1.159,0.865,2.728,2.037,2.383,2.598,15.705,0.350,0.259,0.370,0.291,0.870,0.686,0.554,7
1365,310.391,70.316,448.251,1497.033,0.998,0.587,2.351,1.382,1.866,2.730,20.240,0.319,0.247,0.327,0.159,0.770,0.374,0.428,7
1366,308.654,63.615,758.973,1537.047,1.493,0.768,3.515,1.807,2.661,3.091,16.219,0.395,0.210,0.419,0.193,0.987,0.453,0.543,7
1367,308.962,52.667,567.644,1542.214,1.553,0.885,3.658,2.084,2.871,3.336,15.690,0.464,0.265,0.500,0.284,1.178,0.669,0.677,7
1368,310.269,41.109,782.576,1549.930,1.018,0.974,2.397,2.294,2.346,2.802,16.788,0.416,0.399,0.441,0.415,1.040,0.978,0.714,7
1369,313.421,63.003,664.738,1582.794,0.606,1.377,1.427,3.241,2.334,3.002,22.610,0.234,0.442,0.250,0.461,0.589,1.085,0.617,7
1370,307.571,36.222,637.642,1678.759,1.296,1.010,3.053,2.378,2.715,3.411,16.546,0.592,0.461,0.639,0.499,1.505,1.174,0.955,7
1371,313.080,113.945,1638.681,1737.403,0.456,0.500,1.073,1.176,1.125,2.553,241.792,0.558,0.298,0.690,0.701,1.625,1.651,1.158,7
1372,305.137,55.556,1553.154,1782.591,1.707,1.072,4.020,2.525,3.272,3.379,12.349,0.379,0.238,0.424,0.271,0.998,0.639,0.592,7
1373,304.716,32.366,431.135,1814.768,1.027,1.020,2.419,2.401,2.410,3.267,18.816,0.598,0.594,0.631,0.628,1.485,1.478,1.048,7
1374,303.218,51.637,1170.092,1882.236,0.937,1.186,2.206,2.793,2.500,2.595,14.262,0.261,0.329,0.272,0.350,0.640,0.824,0.522,7
1375,300.661,73.461,962.841,26.283,0.591,0.731,1.391,1.721,1.556,2.717,27.138,0.283,0.273,0.219,0.292,0.515,0.688,0.430,7
1376,290.190,44.226,2025.308,32.427,1.149,2.323,2.705,5.470,4.087,3.619,10.542,0.267,0.628,0.319,0.769,0.751,1.812,0.981,7
1377,297.261,46.540,1778.969,49.982,0.748,1.308,1.760,3.080,2.420,2.909,16.913,0.298,0.498,0.261,0.523,0.615,1.231,0.688,7
1378,290.345,45.175,1709.172,72.844,0.988,1.127,2.326,2.655,2.490,3.047,16.760,0.367,0.419,0.389,0.445,0.915,1.049,0.696,7
1379,296.924,67.712,1458.669,104.616,1.192,0.666,2.808,1.568,2.188,2.706,22.438,0.332,0.180,0.346,0.267,0.814,0.628,0.514,7
1380,302.653,45.573,512.058,218.677,1.217,1.239,2.866,2.918,2.892,3.073,13.152,0.351,0.358,0.387,0.394,0.912,0.928,0.651,7
1381,303.235,107.770,1046.784,260.349,0.634,0.605,1.492,1.425,1.458,2.588,38.199,0.191,0.173,0.176,0.252,0.415,0.594,0.363,7
1382,397.228,98.654,1943.644,343.778,0.485,1.071,1.143,2.522,1.832,3.714,129.653,0.393,0.383,0.641,0.393,1.509,0.926,0.885,7
1383,306.642,35.842,1181.536,372.066,1.220,1.162,2.874,2.737,2.805,3.292,14.890,0.507,0.483,0.554,0.527,1.304,1.242,0.900,7
1384,301.555,70.689,1859.465,394.970,1.138,0.640,2.680,1.508,2.094,3.066,20.558,0.361,0.238,0.373,0.171,0.879,0.403,0.483,7
1385,305.180,45.511,1663.186,435.468,1.225,1.191,2.884,2.805,2.845,3.269,14.424,0.388,0.378,0.426,0.414,1.002,0.975,0.699,7
1386,309.113,63.139,1218.719,500.192,1.046,0.665,2.462,1.566,2.014,2.476,18.497,0.311,0.218,0.322,0.198,0.758,0.467,0.445,7
1387,310.791,69.644,937.815,510.564,0.457,1.149,1.077,2.706,1.892,2.801,41.136,0.466,0.393,0.330,0.402,0.776,0.947,0.612,7
1388,306.910,48.012,266.924,576.180,0.740,1.338,1.742,3.150,2.446,2.877,16.614,0.281,0.484,0.248,0.508,0.584,1.197,0.666,7
1389,294.214,37.935,1983.319,589.192,1.857,0.962,4.373,2.265,3.319,3.466,13.465,0.661,0.340,0.738,0.378,1.737,0.891,0.976,7
1390,308.677,43.019,578.613,594.581,0.861,1.165,2.028,2.743,2.386,3.137,18.896,0.370,0.504,0.411,0.532,0.968,1.253,0.792,7
1391,310.553,76.019,1711.095,682.807,0.648,0.681,1.527,1.605,1.566,2.622,23.741,0.255,0.251,0.192,0.228,0.453,0.538,0.352,7
1392,309.306,38.400,1392.808,683.411,1.350,0.724,3.178,1.704,2.441,2.967,19.699,0.628,0.324,0.661,0.441,1.557,1.038,0.936,7
1393,311.779,54.456,1162.376,689.477,0.619,0.999,1.457,2.354,1.905,2.816,31.308,0.268,0.425,0.432,0.442,1.017,1.041,0.728,7
1394,306.356,110.202,312.963,700.373,0.441,0.452,1.038,1.064,1.051,2.691,272.615,0.473,0.556,0.219,0.972,0.516,2.289,1.173,7
1395,313.000,43.957,723.896,729.311,0.867,1.521,2.041,3.582,2.812,3.340,16.118,0.324,0.564,0.334,0.606,0.786,1.427,0.814,7
